restaurant_id,name,address,online_order,book_table,rate_numeric,votes,location,rest_type,cuisines,approx_cost_for_two,listed_in(type),listed_in(city)
2425,Checkered Bar - MGM Mark,"MGM Mark Whitefield, 23, EPIP Zone, Whitefield, Bangalore",No,No,3.6,19,Whitefield,Lounge,"North Indian, Continental, Chinese",1300.0,"Dine-out, Drinks & nightlife",Brookefield
2426,Checkpost,"47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",Yes,No,4.0874999999999995,960,JP Nagar,Casual Dining,"South Indian, Seafood, Rolls, Beverages",400.0,"Delivery, Dine-out",Bannerghatta Road
2427,Cheers Life,"3rd Floor,Forum Neighborhood Mall, Varthur Main Road, Whitefield",Yes,No,3.4,4,"Varthur Main Road, Whitefield",Kiosk,"Beverages, Juices",300.0,Delivery,Brookefield
2428,Cheers Pub Bar & Restro,"23, 1st Floor, Gowri Annex, 80ft Road, ST Bed, Koramangala 4th Block, Bangalore",No,Yes,4.15,96,Koramangala 4th Block,"Pub, Bar","Continental, Finger Food, Pizza, North Indian, Bar Food",1100.0,"Delivery, Dine-out, Drinks & nightlife, Pubs and bars",Koramangala 4th Block
2429,Cheesecake Alley,"1216, Ground Floor, 14th Main, 3rd Sector, HSR, Bangalore",No,No,3.1,8,HSR,Bakery,"Bakery, Desserts",400.0,"Delivery, Desserts",HSR
2430,Cheesiano Pizza,"16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore",Yes,Yes,4.0,206,JP Nagar,Quick Bites,"Pizza, Italian",700.0,"Delivery, Dine-out",Bannerghatta Road
2431,Cheesy Bites,"Shop 212, 3rd Main Road, MSR Nagar, Mathikere, New BEL Road, Bangalore",Yes,No,,0,New BEL Road,Quick Bites,"Chinese, Fast Food, Italian",200.0,"Delivery, Dine-out",Malleshwaram
2432,Cheesy Juicy Burgers,"189/168, 9th Main Road, HSR Layout, Sector 6, HSR, Bangalore",Yes,No,3.8,18,HSR,Quick Bites,"Burger, Sandwich, Beverages",500.0,"Delivery, Dine-out",BTM
2433,Cheesy Juicy Burgers,"Jeevan Bhima Nagar, Main Road, HAL 3rd Stage, Indiranagar, Bangalore",Yes,No,3.8499999999999996,85,Indiranagar,Quick Bites,"Burger, Sandwich, Beverages",500.0,"Delivery, Dine-out",Indiranagar
2434,Cheezy Subs & Sandwiches,"Bellavista Apartments , Hagadur Main Raod, Adjacent to Delhi Public School Kindergarten, Whitefield Bangalore,",No,No,,0,Whitefield,Delivery,"Fast Food, Sandwich",350.0,Delivery,Whitefield
